,CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
0,Austria,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,47,
1,Austria,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,53,
2,Belgium,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,69,
3,Belgium,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,31,
4,Bulgaria,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,62,
5,Bulgaria,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,38,
6,Cyprus,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,58,
7,Cyprus,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,42,
8,Czechia,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,69,
9,Czechia,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,31,
10,Germany,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,47,
11,Germany,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,53,
12,Denmark,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,85,
13,Denmark,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,15,
14,Estonia,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,49,
15,Estonia,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,51,
16,Greece,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,87,
17,Greece,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,13,
18,Spain,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,64,
19,Spain,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,36,
20,Finland,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,60,
21,Finland,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,40,
22,France,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,61,
23,France,All,All,DEXaware_eqbod,Knowledge of at least one equality body in country,No,39,
