CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Discrimination because of my sex characteristics,18,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Intersex seen as pathological or as a disease,33,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' surgery performed on infants or children,17,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' and gender confirmation surgeries are required to access right,3,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Medical interventions without informed consent,25,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Psychological problems or isolation from others,35,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,No access to appropriate medical treatment or medication,5,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Legal gender recognition changing gender/sex marker in documents,15,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Forming relationships or a family,28,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Bullying and/or violence,31,‡
Austria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Other,17,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Discrimination because of my sex characteristics,30,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Intersex seen as pathological or as a disease,30,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' surgery performed on infants or children,30,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' and gender confirmation surgeries are required to access right,4,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Medical interventions without informed consent,21,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Psychological problems or isolation from others,37,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,No access to appropriate medical treatment or medication,2,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Legal gender recognition changing gender/sex marker in documents,17,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Forming relationships or a family,10,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Bullying and/or violence,30,‡
Belgium,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Other,0,‡
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Discrimination because of my sex characteristics,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Intersex seen as pathological or as a disease,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' surgery performed on infants or children,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' and gender confirmation surgeries are required to access right,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Medical interventions without informed consent,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Psychological problems or isolation from others,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,No access to appropriate medical treatment or medication,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Legal gender recognition changing gender/sex marker in documents,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Forming relationships or a family,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Bullying and/or violence,:, [1] 
Bulgaria,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Other,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Discrimination because of my sex characteristics,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Intersex seen as pathological or as a disease,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' surgery performed on infants or children,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' and gender confirmation surgeries are required to access right,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Medical interventions without informed consent,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Psychological problems or isolation from others,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,No access to appropriate medical treatment or medication,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Legal gender recognition changing gender/sex marker in documents,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Forming relationships or a family,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Bullying and/or violence,:, [1] 
Cyprus,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Other,:, [1] 
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Discrimination because of my sex characteristics,53,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Intersex seen as pathological or as a disease,20,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' surgery performed on infants or children,8,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' and gender confirmation surgeries are required to access right,7,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Medical interventions without informed consent,9,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Psychological problems or isolation from others,16,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,No access to appropriate medical treatment or medication,3,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Legal gender recognition changing gender/sex marker in documents,21,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Forming relationships or a family,21,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Bullying and/or violence,31,‡
Czechia,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Other,11,‡
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Discrimination because of my sex characteristics,35,
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Intersex seen as pathological or as a disease,31,
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' surgery performed on infants or children,25,
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Sex-'normalising' and gender confirmation surgeries are required to access right,4,‡
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Medical interventions without informed consent,16,
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Psychological problems or isolation from others,21,
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,No access to appropriate medical treatment or medication,13,
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Legal gender recognition changing gender/sex marker in documents,19,
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Forming relationships or a family,14,‡
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Bullying and/or violence,24,
Germany,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Other,10,‡
Denmark,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Discrimination because of my sex characteristics,:, [1] 
Denmark,Intersex people,All,DEXindix1,Which do you think are the biggest problems intersex people face in the country where you live?,Intersex seen as pathological or as a disease,:, [1] 
