,CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
0,Austria,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,82,
1,Austria,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,18,
2,Belgium,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,80,
3,Belgium,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,20,
4,Bulgaria,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,97,
5,Bulgaria,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,3,
6,Cyprus,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,85,
7,Cyprus,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,15,
8,Czechia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,91,
9,Czechia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,9,
10,Germany,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,91,
11,Germany,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,9,
12,Denmark,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,90,
13,Denmark,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,10,
14,Estonia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,93,
15,Estonia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,7,
16,Greece,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,98,
17,Greece,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,2,
18,Spain,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,93,
19,Spain,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,7,
20,Finland,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,97,
21,Finland,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,3,
22,France,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,94,
23,France,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,6,
24,Croatia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,98,
25,Croatia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,2,
26,Hungary,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,97,
27,Hungary,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,3,
28,Ireland,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,88,
29,Ireland,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,12,
30,Italy,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,97,
31,Italy,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,3,
32,Lithuania,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,99,
33,Lithuania,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,1,‡
34,Luxembourg,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,74,
35,Luxembourg,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,26,
36,Latvia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,96,
37,Latvia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,4,
38,Malta,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,87,
39,Malta,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,13,
40,Netherlands,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,89,
41,Netherlands,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,11,
42,Poland,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,98,
43,Poland,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,2,
44,Portugal,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,95,
45,Portugal,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,5,
46,Romania,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,98,
47,Romania,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,2,
48,Sweden,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,90,
49,Sweden,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,10,
50,Slovenia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,94,
51,Slovenia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,6,
52,Slovakia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,98,
53,Slovakia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,2,
54,United Kingdom,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,87,
55,United Kingdom,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,13,
56,EU-28,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,93,
57,EU-28,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,7,
58,North Macedonia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,98,
59,North Macedonia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,2,‡
60,Serbia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,Yes,99,
61,Serbia,All,All,DEXa11,Do you have citizenship of the country where the online survey was completed?,No,1,
62,Austria,All,All,DEXh10,"Including yourseld, how many people live in your household?",1 person,35,
63,Austria,All,All,DEXh10,"Including yourseld, how many people live in your household?",Two people,35,
64,Austria,All,All,DEXh10,"Including yourseld, how many people live in your household?",Three people,12,
65,Austria,All,All,DEXh10,"Including yourseld, how many people live in your household?",Four people,11,
66,Austria,All,All,DEXh10,"Including yourseld, how many people live in your household?",Five or more people,7,
67,Belgium,All,All,DEXh10,"Including yourseld, how many people live in your household?",1 person,28,
