CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Austria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,16,
Austria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,20,
Austria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,27,
Austria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,11,
Austria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,14,
Austria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,6,‡
Austria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,3,‡
Austria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Austria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,3,‡
Belgium,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,15,
Belgium,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,20,
Belgium,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,24,
Belgium,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,14,
Belgium,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,11,
Belgium,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,6,
Belgium,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,6,‡
Belgium,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,1,‡
Belgium,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,3,‡
Bulgaria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,18,‡
Bulgaria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,11,‡
Bulgaria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,28,
Bulgaria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,25,
Bulgaria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,13,‡
Bulgaria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,5,‡
Bulgaria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,0,‡
Bulgaria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Bulgaria,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,0,‡
Cyprus,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,13,‡
Cyprus,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,15,‡
Cyprus,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,29,‡
Cyprus,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,23,‡
Cyprus,Trans people,All,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,6,‡
