x,y
2756,20
2756,97
1577,44
2293,91
2293,1897
2056,142
2456,146
2285,174
2157,178
2767,193
2379,202
2551,203
2113,222
1733,235
2437,243
2617,253
2263,259
2263,762
2790,273
2114,287
2114,2310
2378,297
1926,306
2603,333
2212,341
3101,342
1812,348
2352,351
2488,378
2488,2592
3073,379
2826,384
1634,386
2055,391
1750,404
2931,409
2931,1782
3410,412
3820,413
2361,414
2659,418
3032,418
2218,421
2218,2112
1825,439
2485,453
2824,454
3606,455
937,457
1993,464
1993,2187
2596,477
2725,478
2725,891
2272,489
1911,490
2133,491
1688,495
1229,502
2993,506
415,513
2052,514
2438,514
2783,521
837,529
3181,530
2949,539
2244,541
1831,547
4023,548
2646,551
2857,552
3299,569
2134,574
2390,574
2390,819
3047,576
3691,579
2589,580
1756,583
2798,583
992,587
461,603
2273,604
2273,1496
1954,607
3169,616
191,617
750,617
750,1866
2035,618
1845,625
4226,627
1135,630
2650,634
2650,851
2952,634
2952,813
3418,642
4476,651
2103,654
2795,655
2322,658
2322,2575
3771,667
254,668
585,670
2457,670
1719,673
2562,673
2890,682
419,691
2743,693
4142,693
51,698
697,698
697,1179
2058,698
3947,701
818,712
2371,715
1249,717
2168,721
960,722
1970,723
3530,726
2492,732
3119,734
1118,737
1118,850
1609,741
2999,743
2653,744
1847,750
4439,758
326,762
1377,767
4072,769
2839,772
2839,2356
2577,780
590,787
998,794
998,1163
3687,799
2132,803
2132,1681
1201,810
1485,810
4261,813
4261,2167
2500,814
2772,817
2005,818
470,820
3096,823
3261,824
2308,825
738,831
879,841
4646,843
4420,844
342,847
1844,850
3436,858
2188,864
3876,874
996,877
565,882
1342,897
1342,2346
2074,900
3344,902
4165,904
717,911
2368,911
2845,918
875,919
2608,920
3069,920
1213,922
2154,924
4465,925
4465,1252
4465,1952
247,927
3515,930
1648,936
1856,943
3244,945
2453,946
2453,1708
1058,948
145,949
4622,950
4014,955
2295,957
2015,962
481,964
2951,966
288,969
3709,969
2543,973
761,977
761,1450
3147,977
3147,1866
1195,982
4282,990
923,991
1321,1008
2776,1009
4135,1009
4135,2486
1915,1016
1466,1017
555,1020
4837,1020
3295,1021
3295,2281
2200,1024
826,1029
1125,1029
3895,1031
4497,1031
3647,1042
346,1049
346,2106
215,1050
1019,1053
2676,1055
626,1056
626,1818
2317,1057
2466,1057
1754,1060
3462,1067
740,1074
740,1772
908,1076
1871,1077
1294,1079
3214,1087
4644,1088
4242,1092
516,1093
19,1101
2813,1105
1457,1109
3108,1110
3365,1110
2621,1113
2057,1114
2290,1115
3995,1115
3995,2649
418,1117
2962,1117
1124,1118
1124,1191
3823,1120
284,1124
870,1133
4370,1134
634,1137
1277,1139
1277,1772
119,1142
2146,1145
2505,1150
3619,1163
498,1164
1978,1171
4500,1171
3059,1176
217,1179
2892,1181
4096,1183
3200,1186
3911,1195
3911,2761
2207,1197
431,1199
786,1201
2397,1202
4658,1203
1805,1210
3320,1211
1649,1214
563,1216
1239,1219
2067,1219
882,1221
3542,1223
356,1229
2728,1229
1931,1230
2580,1230
4235,1230
4235,2662
156,1234
2281,1237
986,1240
1333,1246
4850,1248
2153,1252
499,1260
1089,1261
2921,1261
2921,1372
765,1265
2458,1266
4007,1274
4007,2581
4007,2740
926,1283
926,1992
3148,1288
2233,1289
310,1293
3294,1293
647,1296
1964,1296
1177,1300
4153,1302
4347,1306
1759,1311
1759,1681
2792,1314
242,1315
105,1321
887,1322
433,1323
2356,1324
3024,1328
3430,1328
1442,1330
569,1334
3899,1339
4539,1340
2542,1345
4980,1345
2112,1349
1076,1351
3666,1352
1298,1354
1298,2675
693,1363
1549,1368
359,1371
846,1371
846,1678
4784,1374
193,1381
3809,1383
4077,1393
3251,1399
1907,1400
4481,1401
488,1405
1024,1405
1024,2434
2032,1405
2215,1407
1692,1411
36,1417
2360,1418
3419,1419
4199,1423
3128,1425
616,1429
2572,1429
290,1433
1241,1433
921,1439
3565,1440
4703,1443
4305,1445
1815,1455
1815,2253
2679,1455
456,1465
3974,1468
4433,1473
2929,1474
1247,1481
1932,1486
1069,1487
850,1489
1729,1489
2082,1492
692,1493
3051,1493
3718,1496
104,1497
4918,1503
3276,1507
4642,1509
4156,1516
294,1519
425,1522
3137,1525
3137,1791
2523,1534
922,1535
2836,1543
2160,1548
1986,1552
1986,1875
623,1554
3444,1554
4374,1554
4801,1556
4561,1557
1746,1565
220,1566
3810,1567
1173,1581
2994,1581
979,1583
2664,1583
2381,1588
452,1592
3699,1599
797,1602
4311,1609
3373,1610
3373,2225
4887,1611
2062,1616
3123,1616
1873,1619
3951,1619
2214,1620
2550,1622
4701,1623
3576,1629
4097,1630
1604,1632
2773,1632
303,1634
2948,1635
657,1641
3228,1648
4260,1656
447,1658
1107,1660
1976,1674
4525,1682
3405,1683
2986,1686
524,1699
4351,1702
208,1710
725,1710
2670,1711
3091,1713
2238,1716
910,1719
1175,1722
2835,1722
4753,1723
4975,1723
3649,1730
2008,1732
3906,1733
3197,1734
1811,1738
601,1740
370,1746
1040,1747
1437,1748
4216,1750
4863,1750
3510,1752
2566,1753
2566,2154
3326,1754
3326,1982
2338,1755
2748,1773
454,1777
1638,1777
4592,1779
1899,1789
2041,1793
148,1794
3802,1797
4136,1799
3273,1804
3273,2610
2626,1809
2626,2374
4396,1810
1078,1811
3603,1814
2131,1815
4005,1829
872,1831
4771,1831
4771,2523
2393,1837
1250,1841
322,1844
2706,1848
1885,1852
2195,1855
1678,1857
1678,2007
529,1860
529,2178
529,2343
3695,1867
2898,1869
2898,2753
1038,1871
1038,1946
4338,1881
2503,1888
2763,1896
1263,1903
426,1904
3548,1906
4045,1908
1130,1909
4576,1909
3062,1910
1773,1911
914,1916
583,1920
3271,1924
4770,1928
1974,1943
2166,1945
2613,1948
2992,1949
3618,1952
3737,1956
3737,2522
3932,1957
788,1959
2409,1961
4264,1961
355,1965
2802,1971
673,1973
1387,1977
4098,1985
526,1987
2223,1988
2512,1988
2030,1989
4664,2006
4664,2200
2316,2010
3589,2014
3048,2015
4968,2015
1209,2017
3867,2022
1050,2023
2701,2023
4379,2025
2920,2028
2604,2036
1792,2040
4798,2041
4179,2044
1314,2045
463,2050
4533,2050
2208,2052
2083,2054
3512,2061
3774,2063
2856,2066
1898,2067
742,2076
2469,2082
3954,2084
610,2096
895,2099
3088,2099
3440,2102
1372,2103
2633,2104
4071,2104
1952,2108
1059,2111
1616,2113
4344,2114
2758,2116
3283,2129
2401,2133
3708,2135
3574,2139
2956,2141
4171,2149
259,2151
4523,2154
2070,2155
711,2162
1829,2166
1343,2168
2264,2171
3421,2174
867,2181
1147,2182
999,2183
2472,2187
3834,2192
1537,2193
2637,2196
2843,2200
1223,2204
4438,2204
3155,2207
2363,2208
3655,2208
4068,2218
4332,2228
2708,2234
1383,2236
2081,2237
2241,2243
689,2250
1053,2251
2916,2251
830,2253
3753,2255
4204,2255
420,2256
3882,2257
3445,2265
950,2269
2470,2271
1959,2277
3967,2281
594,2283
2782,2285
1224,2286
3643,2289
1436,2291
2304,2292
4400,2295
4107,2302
1083,2304
3545,2308
4232,2314
2557,2315
1554,2317
3028,2323
2678,2332
3382,2333
2252,2343
851,2351
4354,2351
4672,2351
1149,2352
2402,2353
3944,2357
4116,2366
694,2367
1008,2368
3739,2375
1419,2380
1252,2383
4514,2389
2722,2392
2040,2393
4201,2395
2213,2397
2534,2397
3406,2404
3406,2862
3586,2408
3936,2409
1569,2419
323,2423
474,2424
2848,2434
764,2436
3037,2436
1208,2437
2389,2437
4294,2439
4049,2443
906,2444
642,2446
1942,2451
1392,2453
3763,2453
3763,2735
2714,2455
2221,2460
3196,2461
3494,2466
4546,2470
2555,2473
1646,2480
2433,2485
2933,2487
831,2494
1225,2497
715,2511
987,2515
4002,2517
2819,2522
478,2523
1329,2523
3019,2523
4571,2524
3902,2525
3456,2528
1445,2537
1113,2538
4459,2538
2531,2542
2189,2544
2719,2544
4244,2545
631,2552
891,2555
3183,2561
773,2582
3653,2584
1645,2587
3872,2590
2820,2593
4325,2597
1042,2599
4564,2606
1187,2607
4104,2613
1297,2616
3431,2616
1478,2617
873,2623
722,2633
2737,2633
2465,2634
3626,2643
2022,2648
3812,2648
938,2655
1097,2669
1523,2677
3249,2684
4119,2687
800,2689
4358,2692
3658,2698
2787,2715
1758,2716
3097,2717
1037,2724
3492,2731
876,2739
1193,2743
3342,2743
1358,2744
1957,2744
605,2746
3599,2756
4159,2761
3074,2791
1065,2793
3777,2794
1423,2796
4004,2824
835,2830
3731,2834
1462,2864
3845,2877
1084,2886
4220,2904
3957,2922
